ALB,Albany, NY
ABQ,Albuquerque, NM
AMA.Amarillo, TX
AUA,Aruba, Aruba
ATL,Atlanta, GA
AUS,Austin, TX
BWI,Baltimore/Washington, MD
BZE,Belize City, Belize
BLI,Bellingham (approx. 50mi from Vancouver BC), WA
BHM,Birmingham, AL
BOI,Boise, ID
BOS,Boston (Logan), MA
BZN,Bozeman/Yellowstone, MT
BUF,Buffalo/Niagara, NY
BUR,Burbank, CA
CUN,Cancun, Mexico
CHS,Charleston, SC
CLT,Charlotte, NC
MDW,Chicago (Midway), IL
ORD,Chicago (Oâ€™Hare-Terminal 5), IL
CVG,Cincinnati, OH
CLE,Cleveland, OH
COS,Colorado Springs, CO
CMH,Columbus, OH
CRP,Corpus Christi, TX
CZM,Cozumel, Quintana Roo
DAL,Dallas (Love Field), TX
DEN,Denver, CO
DSM,Des Moines, IA
VPS,Destin/Fort Walton Beach, FL
DTW,Detroit, MI
ELP,El Paso, TX
EUG,Eugene, OR
FLL,Fort Lauderdale, FL
RSW,Fort Myers, FL
FAT,Fresno, CA
GCM,Grand Cayman, Cayman Islands
GRR,Grand Rapids, MI
GSP,Greenville/Spartanburg, SC
HRL,Harlingen, TX
BDL,Hartford, CT
HAV,Havana, Cuba
ITO,Hilo (Hawaii Island), HI
HNL,Honolulu (Oahu), HI
IAH,Houston (Bush-Intercontl), TX
HOU,Houston (Hobby), TX
IND,Indianapolis, IN
JAN,Jackson, MS
JAX,Jacksonville, FL
OGG,Kahului (Maui), HI
MCI,Kansas City, MO
KOA,Kona (Hawaii Island), HI
LAS,Las Vegas, NV
LIR,Liberia (Guanacaste), Costa Rica
LIH,Lihue (Kauai), HI
LIT,Little Rock, AR
LGB,Long Beach, CA
ISP,Long Island/Islip, NY
LAX,Los Angeles, CA
SJD,Los Cabos, MX
SDF,Louisville, KY
LBB,Lubbock, TX
MHT,Manchester, NH
MEM,Memphis, TN
MIA,Miami, FL
MAF,Midland/Odessa, TX
MKE,Milwaukee, WI
MSP,Minneapolis/St. Paul (Terminal 2), MN
MBJ,Montego Bay, Jamaica
MTJ,Montrose (Telluride/Crested Butte), CO
MYR,Myrtle Beach, SC
BNA,Nashville, TN
NAS,Nassau, Bahamas
MSY,New Orleans, LA
LGA,New York (LaGuardia), NY
ORF,Norfolk, VA
OAK,Oakland, CA
OKC,Oklahoma City, OK
OMA,Omaha, NE
ONT,Ontario/LA, CA
SNA,Orange County/Santa Ana, CA
MCO,Orlando, FL
PSP,Palm Springs, CA
ECP,Panama City Beach, FL
PNS,Pensacola, FL
PHL,Philadelphia, PA
PHX,Phoenix, AZ
PIT,Pittsburgh, PA
PWM,Portland, ME
PDX,Portland, OR
PVD,Providence, RI
PLS,Providenciales, Turks and Caicos
PVR,Puerto Vallarta, MX
PUJ,Punta Cana, DO
RDU,Raleigh/Durham, NC
RNO,Reno/Tahoe, NV
RIC,Richmond, VA
ROC,Rochester, NY
SMF,Sacramento, CA
SLC,Salt Lake City, UT
SAT,San Antonio, TX
SAN,San Diego, CA
SFO,San Francisco, CA
SJC,San Jose, CA
SJO,San Jose, Costa Rica
SJU,San Juan, PR
SBA,Santa Barbara, CA
SRQ,Sarasota/Bradenton, FL
SAV,Savannah/Hilton Head, GA
SEA,Seattle/Tacoma, WA
GEG,Spokane, WA
STL,St. Louis, MO
HDN,Steamboat Springs (Hayden), CO
SYR,Syracuse, NY
TPA,Tampa, FL
TUS,Tucson, AZ
TUL,Tulsa, OK
IAD,Washington (Dulles), DC
DCA,Washington (Reagan National), DC
PBI,West Palm Beach, FL
ICT,Wichita, KS